ID_PESQUISA;DATA_PESQUISA;MUNICÍPIO;ESTADO;INTENÇÃO DE VOTO
P3;18/09/2022;Mirabela;MG;A
P3;18/09/2022;Jaguarão;RS;B
P3;18/09/2022;Simão Dias;SE;B
P3;18/09/2022;São Miguel Arcanjo;SP;B
P3;18/09/2022;São Miguel Arcanjo;SP;B
P3;18/09/2022;Itatiba;SP;A
P3;18/09/2022;Caatiba;BA;B
P3;18/09/2022;Vitória;ES;B
P3;18/09/2022;Nhamundá;AM;B
P3;18/09/2022;Joca Claudino;PB;A
P3;18/09/2022;Caetés;PE;A
P3;18/09/2022;Sinop;MT;B
P3;18/09/2022;Boa Vista do Gurupi;MA;A
P3;18/09/2022;Pracuúba;AP;A
P3;18/09/2022;Laranjal do Jari;AP;A
P3;18/09/2022;Linhares;ES;A
P3;18/09/2022;Cachoeiro de Itapemirim;ES;A
P3;18/09/2022;Divina Pastora;SE;B
P3;18/09/2022;Mariluz;PR;A
P3;18/09/2022;São Bento;MA;A
P3;18/09/2022;Água Boa;MT;B
P3;18/09/2022;Joaçaba;SC;B
P3;18/09/2022;Leopoldo de Bulhões;GO;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Maceió;AL;B
P3;18/09/2022;São Paulo;SP;B
P3;18/09/2022;São Luís;MA;B
P3;18/09/2022;Pereiro;CE;B
P3;18/09/2022;Rio das Ostras;RJ;B
P3;18/09/2022;Caldas;MG;A
P3;18/09/2022;Palmas;TO;A
P3;18/09/2022;Barra do Bugres;MT;A
P3;18/09/2022;Santana de Mangueira;PB;A
P3;18/09/2022;Jaguariaíva;PR;B
P3;18/09/2022;Zabelê;PB;B
P3;18/09/2022;Biguaçu;SC;B
P3;18/09/2022;Loreto;MA;A
P3;18/09/2022;Vila Velha;ES;B
P3;18/09/2022;Lajeado;RS;A
P3;18/09/2022;Palestina;AL;A
P3;18/09/2022;Nazarezinho;PB;A
P3;18/09/2022;Santiago;RS;B
P3;18/09/2022;Buíque;PE;B
P3;18/09/2022;Bom Jardim de Goiás;GO;B
P3;18/09/2022;Leopoldo de Bulhões;GO;B
P3;18/09/2022;Estreito;MA;A
P3;18/09/2022;Anápolis;GO;B
P3;18/09/2022;Itaituba;PA;A
P3;18/09/2022;Santa Tereza de Goiás;GO;B
P3;18/09/2022;Anadia;AL;A
P3;18/09/2022;Ilhéus;BA;A
P3;18/09/2022;São João do Piauí;PI;B
P3;18/09/2022;Machadinho D'Oeste;RO;B
P3;18/09/2022;Boa Vista;RR;B
P3;18/09/2022;Pedro Canário;ES;B
P3;18/09/2022;Douradina;MS;A
P3;18/09/2022;Laranjal;PR;A
P3;18/09/2022;Tartarugalzinho;AP;A
P3;18/09/2022;Assis Brasil;AC;B
P3;18/09/2022;Candeias do Jamari;RO;B
P3;18/09/2022;Catolé do Rocha;PB;A
P3;18/09/2022;Três Cachoeiras;RS;A
P3;18/09/2022;Munhoz;MG;B
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Palestina de Goiás;GO;A
P3;18/09/2022;Japaratuba;SE;A
P3;18/09/2022;Catunda;CE;B
P3;18/09/2022;Campo Grande;MS;B
P3;18/09/2022;Lagoa Formosa;MG;B
P3;18/09/2022;Baixo Guandu;ES;B
P3;18/09/2022;Pacaraima;RR;B
P3;18/09/2022;Santo Expedito do Sul;RS;B
P3;18/09/2022;Eunápolis;BA;B
P3;18/09/2022;Crateús;CE;A
P3;18/09/2022;Manaquiri;AM;B
P3;18/09/2022;Florianópolis;SC;B
P3;18/09/2022;Uiraúna;PB;A
P3;18/09/2022;Cuiabá;MT;B
P3;18/09/2022;Itiruçu;BA;B
P3;18/09/2022;Tartarugalzinho;AP;B
P3;18/09/2022;Aracruz;ES;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Venha-Ver;RN;A
P3;18/09/2022;Venha-Ver;RN;A
P3;18/09/2022;Anápolis;GO;A
P3;18/09/2022;Maceió;AL;A
P3;18/09/2022;Angra dos Reis;RJ;A
P3;18/09/2022;São José do Calçado;ES;B
P3;18/09/2022;Macapá;AP;A
P3;18/09/2022;Recife;PE;A
P3;18/09/2022;Rio Branco;AC;B
P3;18/09/2022;Breves;PA;A
P3;18/09/2022;Campo Erê;SC;B
P3;18/09/2022;Rio Branco;AC;B
P3;18/09/2022;Porto Walter;AC;B
P3;18/09/2022;Cruzmaltina;PR;A
P3;18/09/2022;Acará;PA;A
P3;18/09/2022;Santa Helena;MA;A
P3;18/09/2022;Maceió;AL;B
P3;18/09/2022;Altamira;PA;A
P3;18/09/2022;São Salvador do Tocantins;TO;B
P3;18/09/2022;São Félix do Coribe;BA;A
P3;18/09/2022;Três Lagoas;MS;A
P3;18/09/2022;Juruti;PA;A
P3;18/09/2022;Maceió;AL;B
P3;18/09/2022;Careiro;AM;A
P3;18/09/2022;Afonso Cunha;MA;A
P3;18/09/2022;Orizona;GO;B
P3;18/09/2022;Ji-Paraná;RO;B
P3;18/09/2022;Araguaína;TO;A
P3;18/09/2022;São Luís;MA;B
P3;18/09/2022;Flor do Sertão;SC;B
P3;18/09/2022;Rio Branco;AC;B
P3;18/09/2022;Breves;PA;B
P3;18/09/2022;Planaltina;GO;A
P3;18/09/2022;Congonhas;MG;A
P3;18/09/2022;Espigão D'Oeste;RO;B
P3;18/09/2022;Boa Vista;RR;B
P3;18/09/2022;Tutóia;MA;A
P3;18/09/2022;Caucaia;CE;A
P3;18/09/2022;Barra de Guabiraba;PE;A
P3;18/09/2022;Malta;PB;A
P3;18/09/2022;Vespasiano Corrêa;RS;A
P3;18/09/2022;Tupã;SP;A
P3;18/09/2022;Forquilha;CE;B
P3;18/09/2022;Criciúma;SC;B
P3;18/09/2022;Macapá;AP;A
P3;18/09/2022;Castanheira;MT;B
P3;18/09/2022;Cruzmaltina;PR;A
P3;18/09/2022;Santa Teresa;ES;A
P3;18/09/2022;Palmas;TO;B
P3;18/09/2022;Barcarena;PA;A
P3;18/09/2022;São José do Rio Claro;MT;A
P3;18/09/2022;Porto Walter;AC;B
P3;18/09/2022;Iati;PE;A
P3;18/09/2022;São José do Rio Preto;SP;B
P3;18/09/2022;Terra Roxa;SP;A
P3;18/09/2022;Monte Alegre;RN;B
P3;18/09/2022;Ingaí;MG;B
P3;18/09/2022;Anadia;AL;A
P3;18/09/2022;João Pessoa;PB;A
P3;18/09/2022;Santa Cruz da Baixa Verde;PE;B
P3;18/09/2022;Pracuúba;AP;B
P3;18/09/2022;Júlio Borges;PI;A
P3;18/09/2022;Russas;CE;B
P3;18/09/2022;Brejetuba;ES;B
P3;18/09/2022;Palmeira dos Índios;AL;B
P3;18/09/2022;Itabirinha;MG;B
P3;18/09/2022;Itinga do Maranhão;MA;B
P3;18/09/2022;Duas Barras;RJ;B
P3;18/09/2022;Coremas;PB;A
P3;18/09/2022;Caxias do Sul;RS;B
P3;18/09/2022;Itapiranga;AM;A
P3;18/09/2022;Santa Brígida;BA;A
P3;18/09/2022;Taperoá;PB;B
P3;18/09/2022;Jardim do Seridó;RN;B
P3;18/09/2022;Rio Branco;AC;A
P3;18/09/2022;Rio do Fogo;RN;B
P3;18/09/2022;Iguatu;CE;A
P3;18/09/2022;Mazagão;AP;B
P3;18/09/2022;Porto Walter;AC;B
P3;18/09/2022;Pracuúba;AP;B
P3;18/09/2022;Esperantina;PI;A
P3;18/09/2022;Taguatinga;TO;B
P3;18/09/2022;Sapiranga;RS;A
P3;18/09/2022;Lacerdópolis;SC;B
P3;18/09/2022;Jaguaruna;SC;B
P3;18/09/2022;Camboriú;SC;A
P3;18/09/2022;Salvador;BA;A
P3;18/09/2022;Cuiabá;MT;B
P3;18/09/2022;Laranjal do Jari;AP;B
P3;18/09/2022;Figueirópolis;TO;A
P3;18/09/2022;São José dos Basílios;MA;B
P3;18/09/2022;Selvíria;MS;B
P3;18/09/2022;São Simão;SP;A
P3;18/09/2022;Peixoto de Azevedo;MT;B
P3;18/09/2022;Paranavaí;PR;B
P3;18/09/2022;Ananindeua;PA;A
P3;18/09/2022;Manaquiri;AM;B
P3;18/09/2022;Tobias Barreto;SE;A
P3;18/09/2022;Goiânia;GO;B
P3;18/09/2022;Boa Vista do Ramos;AM;B
P3;18/09/2022;Recursolândia;TO;B
P3;18/09/2022;Itapirapuã;GO;A
P3;18/09/2022;Aquidabã;SE;A
P3;18/09/2022;São Domingos do Capim;PA;A
P3;18/09/2022;Malta;PB;A
P3;18/09/2022;Parnaíba;PI;A
P3;18/09/2022;Sena Madureira;AC;B
P3;18/09/2022;Jaicós;PI;A
P3;18/09/2022;Doutor Severiano;RN;A
P3;18/09/2022;Brasília;DF;A
P3;18/09/2022;Novo Progresso;PA;A
P3;18/09/2022;Alto Feliz;RS;B
P3;18/09/2022;Dormentes;PE;A
P3;18/09/2022;Rio Formoso;PE;A
P3;18/09/2022;Araruna;PR;B
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;São Geraldo do Araguaia;PA;A
P3;18/09/2022;Niquelândia;GO;A
P3;18/09/2022;Monte Castelo;SC;B
P3;18/09/2022;São Francisco do Oeste;RN;B
P3;18/09/2022;São Miguel Arcanjo;SP;B
P3;18/09/2022;Iracema;RR;B
P3;18/09/2022;Amarante do Maranhão;MA;A
P3;18/09/2022;Macapá;AP;B
P3;18/09/2022;Maraã;AM;B
P3;18/09/2022;São Paulo;SP;B
P3;18/09/2022;Porto Velho;RO;B
P3;18/09/2022;Porto Walter;AC;A
P3;18/09/2022;Penha;SC;A
P3;18/09/2022;São Leopoldo;RS;B
P3;18/09/2022;Chapada dos Guimarães;MT;B
P3;18/09/2022;Ruy Barbosa;RN;B
P3;18/09/2022;Mascote;BA;A
P3;18/09/2022;Camapuã;MS;B
P3;18/09/2022;São Miguel Arcanjo;SP;B
P3;18/09/2022;Vargem Grande;MA;B
P3;18/09/2022;Salvador;BA;B
P3;18/09/2022;Brasnorte;MT;B
P3;18/09/2022;Brejetuba;ES;B
P3;18/09/2022;Alto Alegre;RR;B
P3;18/09/2022;Guariba;SP;B
P3;18/09/2022;Nova Iguaçu;RJ;B
P3;18/09/2022;Boa Vista;RR;A
P3;18/09/2022;Forquilha;CE;A
P3;18/09/2022;Valença;BA;A
P3;18/09/2022;Itacoatiara;AM;B
P3;18/09/2022;Juazeiro do Norte;CE;A
P3;18/09/2022;João Pessoa;PB;A
P3;18/09/2022;Estrela do Indaiá;MG;B
P3;18/09/2022;Barra D'Alcântara;PI;A
P3;18/09/2022;Santo André;PB;A
P3;18/09/2022;Jericó;PB;A
P3;18/09/2022;Pau D'Arco;TO;A
P3;18/09/2022;Canarana;BA;A
P3;18/09/2022;Getulina;SP;A
