,Unnamed: 0,id,date,city_name,city_state,voting_intentions
0,0.0,P1,04/09/2022,Jatobá,PE,B
1,1.0,P1,04/09/2022,Brasília,DF,B
2,2.0,P1,04/09/2022,Sidrolândia,MS,A
3,3.0,P1,04/09/2022,Adrianópolis,PR,B
4,4.0,P1,04/09/2022,Osvaldo Cruz,SP,A
5,5.0,P1,04/09/2022,Assunção,PB,A
6,6.0,P1,04/09/2022,Cerqueira César,SP,B
7,7.0,P1,04/09/2022,Porto Walter,AC,B
8,8.0,P1,04/09/2022,Leopoldina,MG,B
9,9.0,P1,04/09/2022,Cambé,PR,A
10,10.0,P1,04/09/2022,Palmeirândia,MA,A
11,11.0,P1,04/09/2022,Breves,PA,B
12,12.0,P1,04/09/2022,Goiânia,GO,A
13,13.0,P1,04/09/2022,São Pedro do Turvo,SP,A
14,14.0,P1,04/09/2022,Piraí,RJ,A
15,15.0,P1,04/09/2022,Formosa do Rio Preto,BA,B
16,16.0,P1,04/09/2022,Aracaju,SE,B
17,17.0,P1,04/09/2022,Guarujá,SP,A
18,18.0,P1,04/09/2022,Resende,RJ,B
19,19.0,P1,04/09/2022,Franca,SP,A
20,20.0,P1,04/09/2022,Mossoró,RN,A
21,21.0,P1,04/09/2022,Tanque d'Arca,AL,B
22,22.0,P1,04/09/2022,Belo Horizonte,MG,A
23,23.0,P1,04/09/2022,Jaú,SP,A
24,24.0,P1,04/09/2022,Nova Olinda do Norte,AM,B
25,25.0,P1,04/09/2022,Iranduba,AM,A
26,26.0,P1,04/09/2022,Natividade,RJ,A
27,27.0,P1,04/09/2022,Itaocara,RJ,B
28,28.0,P1,04/09/2022,Apodi,RN,A
29,29.0,P1,04/09/2022,Cametá,PA,A
30,30.0,P1,04/09/2022,Capitão Andrade,MG,A
31,31.0,P1,04/09/2022,Ji-Paraná,RO,A
32,32.0,P1,04/09/2022,Iranduba,AM,B
33,33.0,P1,04/09/2022,Limoeiro de Anadia,AL,B
34,34.0,P1,04/09/2022,Macapá,AP,A
35,35.0,P1,04/09/2022,Jericó,PB,A
36,36.0,P1,04/09/2022,Mossoró,RN,A
37,37.0,P1,04/09/2022,Porto Seguro,BA,A
38,38.0,P1,04/09/2022,Santana,AP,A
39,39.0,P1,04/09/2022,Alto Alegre,RR,B
40,40.0,P1,04/09/2022,Cotriguaçu,MT,B
41,41.0,P1,04/09/2022,Rolim de Moura,RO,A
42,42.0,P1,04/09/2022,Parnamirim,RN,A
43,43.0,P1,04/09/2022,Cachoeiro de Itapemirim,ES,B
44,44.0,P1,04/09/2022,Santana,AP,A
45,45.0,P1,04/09/2022,São Bento do Sapucaí,SP,B
46,46.0,P1,04/09/2022,Rio Verde,GO,A
47,47.0,P1,04/09/2022,Nova Prata,RS,B
48,48.0,P1,04/09/2022,Limoeiro de Anadia,AL,A
49,49.0,P1,04/09/2022,Buritis,RO,A
50,50.0,P1,04/09/2022,Icapuí,CE,A
51,51.0,P1,04/09/2022,Brasília,DF,A
52,52.0,P1,04/09/2022,Acrelândia,AC,B
53,53.0,P1,04/09/2022,Muniz Ferreira,BA,A
54,54.0,P1,04/09/2022,Rio de Janeiro,RJ,A
55,55.0,P1,04/09/2022,Paripiranga,BA,A
56,56.0,P1,04/09/2022,Magé,RJ,B
57,57.0,P1,04/09/2022,Antas,BA,A
58,58.0,P1,04/09/2022,Marilândia,ES,B
59,59.0,P1,04/09/2022,Rio Branco,AC,B
60,60.0,P1,04/09/2022,Guaramirim,SC,B
61,61.0,P1,04/09/2022,Carnaubais,RN,A
62,62.0,P1,04/09/2022,Santópolis do Aguapeí,SP,A
63,63.0,P1,04/09/2022,Maceió,AL,B
64,64.0,P1,04/09/2022,Paquetá,PI,B
65,65.0,P1,04/09/2022,Zabelê,PB,A
66,66.0,P1,04/09/2022,Salinas da Margarida,BA,A
67,67.0,P1,04/09/2022,Rio Grande,RS,A
68,68.0,P1,04/09/2022,Capitão Poço,PA,B
69,69.0,P1,04/09/2022,Bonito,PA,A
70,70.0,P1,04/09/2022,Manaus,AM,B
71,71.0,P1,04/09/2022,Florínea,SP,B
72,72.0,P1,04/09/2022,Cruzmaltina,PR,A
73,73.0,P1,04/09/2022,Gramado Xavier,RS,A
74,74.0,P1,04/09/2022,União dos Palmares,AL,A
75,75.0,P1,04/09/2022,Rio de Janeiro,RJ,A
76,76.0,P1,04/09/2022,Itaquitinga,PE,A
77,77.0,P1,04/09/2022,Cambará,PR,A
78,78.0,P1,04/09/2022,Currais Novos,RN,B
79,79.0,P1,04/09/2022,Campo Grande,MS,A
80,80.0,P1,04/09/2022,Cruzmaltina,PR,B
81,81.0,P1,04/09/2022,Grão Mogol,MG,A
82,82.0,P1,04/09/2022,Tanque Novo,BA,A
83,83.0,P1,04/09/2022,Porto Walter,AC,B
84,84.0,P1,04/09/2022,Mossoró,RN,B
85,85.0,P1,04/09/2022,Rio Branco,AC,A
86,86.0,P1,04/09/2022,Monte das Gameleiras,RN,A
87,87.0,P1,04/09/2022,Pereiras,SP,A
88,88.0,P1,04/09/2022,Aurelino Leal,BA,B
89,89.0,P1,04/09/2022,Combinado,TO,B
90,90.0,P1,04/09/2022,Bela Cruz,CE,B
91,91.0,P1,04/09/2022,Riversul,SP,A
92,92.0,P1,04/09/2022,São Mateus,ES,B
93,93.0,P1,04/09/2022,Alvarães,AM,A
94,94.0,P1,04/09/2022,Pauini,AM,B
95,95.0,P1,04/09/2022,Glória do Goitá,PE,B
96,96.0,P1,04/09/2022,São Paulo,SP,A
